Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D26,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,151.000002,-59.0,0.0,top
D27,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,154.000002,-59.0,0.0,top
D30,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,133.000002,-62.0,0.0,top
D31,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,136.000002,-62.0,0.0,top
D32,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,139.000002,-62.0,0.0,top
D33,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,142.000002,-62.0,0.0,top
D34,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,145.000002,-62.0,0.0,top
D35,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,148.000002,-62.0,0.0,top
D36,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,151.000002,-62.0,0.0,top
D37,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,154.000002,-62.0,0.0,top
D40,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,133.000002,-65.0,0.0,top
D41,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,136.000002,-65.0,0.0,top
D42,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,139.000002,-65.0,0.0,top
D43,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,142.000002,-65.0,0.0,top
D44,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,145.000002,-65.0,0.0,top
D45,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,148.000002,-65.0,0.0,top
D46,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,151.000002,-65.0,0.0,top
D47,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,154.000002,-65.0,0.0,top
D50,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,133.000002,-68.0,0.0,top
D51,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,136.000002,-68.0,0.0,top
D52,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,139.000002,-68.0,0.0,top
D53,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,142.000002,-68.0,0.0,top
D54,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,145.000002,-68.0,0.0,top
D55,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,148.000002,-68.0,0.0,top
D56,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,151.000002,-68.0,0.0,top
D57,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,154.000002,-68.0,0.0,top
D60,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,133.000002,-71.0,0.0,top
D61,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,136.000002,-71.0,0.0,top
D62,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,139.000002,-71.0,0.0,top
D63,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,142.000002,-71.0,0.0,top
D64,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,145.000002,-71.0,0.0,top
D65,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,148.000002,-71.0,0.0,top
